team,side,player_id
Team 01,hitting,665487
Team 02,hitting,547989
Team 03,hitting,608369
Team 04,hitting,547180
Team 05,hitting,542303
Team 06,hitting,518692
Team 07,hitting,650391
Team 08,hitting,664040
Team 09,hitting,592206
Team 10,hitting,606192
Team 10,hitting,665742
Team 09,hitting,593934
Team 08,hitting,545361
Team 07,hitting,572228
Team 06,hitting,571976
Team 05,hitting,592518
Team 04,hitting,443558
Team 03,hitting,646240
Team 02,hitting,666971
Team 01,hitting,545341
Team 01,hitting,543807
Team 02,hitting,614177
Team 03,hitting,553993
Team 04,hitting,474832
Team 05,hitting,669374
Team 06,hitting,624413
Team 07,hitting,607208
Team 08,hitting,621020
Team 09,hitting,594807
Team 10,hitting,608070
Team 10,hitting,571970
Team 09,hitting,572122
Team 08,hitting,446334
Team 07,hitting,642086
Team 06,hitting,621566
Team 05,hitting,673357
Team 04,hitting,641313
Team 03,hitting,592567
Team 02,hitting,592663
Team 01,hitting,502110
Team 01,hitting,594777
Team 02,hitting,663757
Team 03,hitting,624585
Team 04,hitting,665489
Team 05,hitting,521692
Team 06,hitting,572041
Team 07,hitting,596142
Team 08,hitting,641786
Team 09,hitting,502671
Team 10,hitting,608336
Team 10,hitting,600524
Team 09,hitting,641355
Team 08,hitting,660670
Team 07,hitting,624424
Team 06,hitting,656555
Team 05,hitting,656305
Team 04,hitting,663656
Team 03,hitting,621035
Team 02,hitting,630105
Team 01,hitting,573262
Team 01,hitting,519048
Team 02,hitting,592885
Team 03,hitting,596115
Team 04,hitting,408234
Team 05,hitting,429665
Team 06,hitting,656941
Team 07,hitting,457759
Team 08,hitting,608385
Team 09,hitting,657108
Team 10,hitting,457705
Team 10,hitting,593428
Team 09,hitting,575929
Team 08,hitting,664023
Team 07,hitting,605141
Team 06,hitting,663586
Team 05,hitting,600869
Team 04,hitting,621439
Team 03,hitting,668804
Team 02,hitting,458015
Team 01,hitting,605119
Team 01,hitting,543105
Team 02,hitting,576397
Team 03,hitting,664761
Team 04,hitting,519203
Team 05,hitting,543543
Team 06,hitting,518595
Team 07,hitting,664238
Team 08,hitting,623993
Team 09,hitting,666182
Team 10,hitting,657656
Team 01,pitching,669456
Team 02,pitching,543037
Team 03,pitching,608337
Team 04,pitching,594798
Team 05,pitching,545333
Team 06,pitching,605400
Team 07,pitching,506433
Team 08,pitching,453286
Team 09,pitching,659275
Team 10,pitching,605540
Team 10,pitching,607192
Team 09,pitching,622491
Team 08,pitching,458681
Team 07,pitching,669203
Team 06,pitching,628317
Team 05,pitching,471911
Team 04,pitching,668678
Team 03,pitching,664285
Team 02,pitching,592332
Team 01,pitching,592662
Team 01,pitching,608566
Team 02,pitching,543243
Team 03,pitching,547943
Team 04,pitching,605164
Team 05,pitching,605483
Team 06,pitching,571760
Team 07,pitching,621107
Team 08,pitching,650644
Team 09,pitching,425844
Team 10,pitching,621244
Team 10,pitching,666200
Team 09,pitching,594835
Team 08,pitching,543294
Team 07,pitching,605200
Team 06,pitching,501985
Team 05,pitching,477132
Team 04,pitching,663903
Team 03,pitching,593423
Team 02,pitching,571510
Team 01,pitching,641816
Team 01,pitching,571578
Team 02,pitching,641154
Team 03,pitching,663978
Team 04,pitching,502043
Team 05,pitching,518633
Team 06,pitching,668676
Team 07,pitching,456501
Team 08,pitching,621121
Team 09,pitching,656288
Team 10,pitching,605397
Team 10,pitching,596133
Team 09,pitching,605135
Team 08,pitching,425794
Team 07,pitching,519144
Team 06,pitching,664299
Team 05,pitching,675916
Team 04,pitching,554430
Team 03,pitching,458676
Team 02,pitching,642207
Team 01,pitching,543135
Team 01,pitching,605513
Team 02,pitching,621242
Team 03,pitching,592836
Team 04,pitching,608331
Team 05,pitching,656427
Team 06,pitching,663460
Team 07,pitching,592866
Team 08,pitching,656954
Team 09,pitching,664141
Team 10,pitching,642547
