team,barrels,r_plus_rbi,xwoba,ev90,chase_rate,sb,k,xfip,whiff_rate,barrel_rate_allowed,qs,total
Team 01,10.0,8.0,1.0,1.0,7.0,5.5,10.0,2.0,8.0,5.0,7.0,64.5
Team 02,5.5,2.0,7.0,5.0,8.0,5.5,9.0,10.0,10.0,6.0,2.5,70.5
Team 03,8.5,3.5,4.0,7.0,4.0,5.5,7.5,7.0,4.0,8.0,8.0,67.0
Team 04,1.5,3.5,3.0,10.0,1.0,5.5,7.5,5.0,6.0,10.0,9.0,62.0
Team 05,5.5,6.0,9.0,9.0,2.0,5.5,6.0,9.0,9.0,7.0,2.5,70.5
Team 06,5.5,9.5,8.0,8.0,6.0,5.5,4.0,6.0,5.0,3.0,6.0,66.5
Team 07,8.5,9.5,6.0,2.0,5.0,5.5,4.0,4.0,1.0,2.0,4.0,51.5
Team 08,5.5,5.0,10.0,6.0,10.0,5.5,4.0,1.0,2.0,9.0,10.0,68.0
Team 09,3.0,1.0,5.0,3.0,3.0,5.5,1.5,3.0,3.0,1.0,5.0,34.0
Team 10,1.5,7.0,2.0,4.0,9.0,5.5,1.5,8.0,7.0,4.0,1.0,50.5
